grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,param_norm,samples,step,vb,vb_q0,vb_q1,vb_q2,vb_q3
3.137500454595974,1.0086297988891602,1.0103431,1.0070317,1.0047193,1.0122607,0.9981099367141724,0.99637383,0.9996219,0.9958692,0.9992305,230.464184334506,32,0,0.01051973458379507,0.013969205,0.0074096485,0.008850012,0.013030113
1.3164173662667655,0.26464633867144577,0.3765477,0.23030221,0.22707859,0.22610621,0.254055995196104,0.34057966,0.22861414,0.22494616,0.22322036,230.7482467835719,1632,50,0.010590344585361892,0.03596737,0.001688087,0.0021322481,0.0028857852
0.242676162213092,0.038431577086448704,0.10482121,0.017475925,0.011718363,0.0117874015,0.03357913594692943,0.08727974,0.01734629,0.01160858,0.011637549,231.08155365314587,3232,100,0.004852441481489222,0.017541423,0.00012965231,0.00010978636,0.00014986114
0.154656796083905,0.020214286353439085,0.061633695,0.010439387,0.004363747,0.0039762845,0.019180911164730786,0.05768908,0.010361771,0.0043231966,0.0039258595,231.17195189379407,4832,150,0.0010333754120802033,0.0039445944,7.762367e-05,4.0552037e-05,5.042892e-05
0.13556172228184046,0.021381286717951302,0.075438984,0.008496104,0.0028693893,0.0024039797,0.017640581354498863,0.059775654,0.00843327,0.0028432724,0.0023733154,231.1979038458434,6432,200,0.003740705379896099,0.015663322,6.284735e-05,2.6118067e-05,3.0666186e-05
0.1456952308438961,0.0240285066422075,0.08514139,0.008892858,0.002652854,0.002221508,0.01861758958548307,0.06300525,0.008827009,0.0026284782,0.002193074,231.2303417267201,8032,250,0.005410916963301133,0.022136146,6.585375e-05,2.4375126e-05,2.8435168e-05
0.1182807592553055,0.015096690310165285,0.04974786,0.0078303665,0.0022163899,0.0016700904,0.014469690453261137,0.047289923,0.0077722953,0.0021962305,0.001648804,231.25723999570587,9632,300,0.0006269999996584375,0.0024579777,5.806052e-05,2.016011e-05,2.128542e-05
0.11704791405099615,0.01891960741020739,0.06393881,0.00782527,0.0020672947,0.0015621899,0.01521687146276236,0.04929778,0.0077674156,0.0020484587,0.0015420163,231.2833814376811,11232,350,0.003702735801489326,0.014641032,5.7862264e-05,1.8836005e-05,2.017235e-05
0.10363428256852686,0.014408057052642108,0.045847148,0.0075297724,0.0018708963,0.0013882744,0.013439003396779298,0.042143974,0.0074741356,0.0018537611,0.0013706826,231.31073440670775,12832,400,0.0009690536960988538,0.0037031423,5.5636014e-05,1.713587e-05,1.7590633e-05
0.10376251078492507,0.018981300229206674,0.06104025,0.0073355325,0.0018465267,0.0012907541,0.014650581916794185,0.045005992,0.0072812494,0.0018297082,0.0012744095,231.33414695861276,14432,450,0.004330718289929793,0.016034314,5.4285516e-05,1.6817981e-05,1.6343125e-05
0.1008627530198343,0.017865320323035117,0.059145197,0.0070404382,0.0017403124,0.0011408516,0.012549052443355328,0.038873035,0.006988112,0.0017246102,0.001126322,231.35358397819587,16032,500,0.005316267602829612,0.020272192,5.2334555e-05,1.5701602e-05,1.4529055e-05
0.10213138558735806,0.014902271311730145,0.04983458,0.0065056602,0.001656954,0.0011019484,0.012605216437950734,0.040792212,0.0064574312,0.0016419532,0.0010879936,231.37583904140854,17632,550,0.0022970548151351965,0.009042392,4.823177e-05,1.4999315e-05,1.3954699e-05
0.10446570297905636,0.01862335065379739,0.07157273,0.006327265,0.0017355059,0.0011137759,0.013189207436516885,0.047708336,0.006280303,0.0017198471,0.0010996065,231.3989407754413,19232,600,0.005434143335587579,0.02386435,4.69646e-05,1.5660356e-05,1.4168764e-05
0.09418737903275307,0.020007004514336575,0.071527325,0.0060104234,0.0015753187,0.0010147712,0.013107184562832115,0.043999083,0.005965852,0.0015609948,0.0010019051,231.42358001113203,20832,650,0.006899820633843772,0.027528202,4.4566033e-05,1.4323373e-05,1.2866289e-05
0.08999947364508942,0.01364950064569711,0.04585377,0.0062905336,0.0015794688,0.0010571885,0.011787199489772316,0.038424212,0.006243859,0.0015651786,0.0010437545,231.44838954582556,22432,700,0.0018623013750766416,0.007429568,4.6667417e-05,1.4289638e-05,1.3434226e-05
0.08255028685799962,0.014472141964361068,0.04985505,0.006264802,0.0014634337,0.0008895538,0.012391133857890969,0.041436464,0.0062183607,0.0014502247,0.0008782425,231.4740390548182,24032,750,0.002081008259847294,0.00841858,4.6433728e-05,1.3209104e-05,1.1311433e-05
0.08761413073598429,0.015123962736688555,0.056148715,0.005954511,0.0014728811,0.0008535209,0.012152077686041594,0.043373242,0.0059105754,0.0014596741,0.0008426751,231.50006330134875,25632,800,0.0029718852431687994,0.012775535,4.3947228e-05,1.3205776e-05,1.0846018e-05
0.0825852692821793,0.010952549427747723,0.03449249,0.0063105915,0.0014461853,0.0008179406,0.01050285248085856,0.032804664,0.006264131,0.0014332826,0.00080756145,231.52229834181946,27232,850,0.0004496970256150235,0.0016877893,4.6459983e-05,1.2901887e-05,1.0378751e-05
0.08904014319288839,0.014495174749754373,0.049110565,0.006166415,0.0013844606,0.0008471041,0.012476469622924926,0.04116482,0.006121017,0.0013719068,0.0008363408,231.53962520384704,28832,900,0.0020187048043590044,0.007945796,4.540042e-05,1.2553209e-05,1.0764134e-05
0.09023012325989076,0.014514743788167835,0.04856764,0.0059702075,0.0013805464,0.00079731067,0.012358841868117452,0.04022027,0.005926033,0.0013681434,0.0007871722,231.56455876242688,30432,950,0.002155901923251805,0.008347384,4.417915e-05,1.240222e-05,1.0137759e-05
0.09077347764863947,0.015785183231346308,0.055309717,0.0060605956,0.0013866095,0.0007943666,0.012495869128033521,0.042153485,0.0060156225,0.0013740906,0.00078421604,231.59027863528715,32032,1000,0.0032893139827865517,0.01315618,4.4965756e-05,1.251794e-05,1.0150563e-05
0.07933140322181756,0.014471338978037237,0.04789102,0.0053907,0.0013783202,0.00075057015,0.012371881809085604,0.040006336,0.0053507676,0.0013659864,0.0007410404,231.61714542449639,33632,1050,0.0020994569298636626,0.007884652,3.9928407e-05,1.2335198e-05,9.529871e-06
0.07248669888551083,0.011737653836607935,0.039461944,0.0056131748,0.0013111309,0.0007340397,0.010230848444625741,0.03345303,0.005571619,0.0012993829,0.0007247267,231.64408950876546,35232,1100,0.0015068051721755182,0.0060089123,4.1559106e-05,1.1747019e-05,9.313037e-06
0.09066568743068287,0.012791372369974857,0.04460233,0.0059692734,0.0013571201,0.0007660057,0.010982666909694667,0.037173864,0.005925108,0.0013448957,0.0007563571,231.6795393928416,36832,1150,0.0018087056824151653,0.007428476,4.417067e-05,1.2225705e-05,9.648722e-06
